Customer,Inter-Arrival Time,Arrival Time,Wait Time,Service Time,Service Start Time,Service End Time,Time in System,Idle Time Before Service
144,1.05,651.49,2.32,4.15,653.81,657.96,6.47,0.0
145,7.65,659.14,0.0,5.48,659.14,664.62,5.48,1.18
146,4.77,663.91,0.71,3.4,664.62,668.02,4.11,0.0
147,6.28,670.2,-0.0,3.98,670.2,674.18,3.98,2.18
148,1.66,671.86,2.32,5.62,674.18,679.8,7.94,0.0
149,7.63,679.49,0.31,4.48,679.8,684.28,4.79,0.0
150,5.56,685.05,0.0,5.3,685.05,690.35,5.3,0.77
151,6.29,691.34,0.0,4.73,691.34,696.07,4.73,0.99
152,2.77,694.11,1.96,3.73,696.07,699.8,5.69,0.0
153,4.45,698.56,1.24,2.68,699.8,702.48,3.92,0.0
154,2.77,701.33,1.15,2.27,702.48,704.75,3.42,0.0
155,5.54,706.88,-0.0,3.94,706.88,710.82,3.94,2.13
156,5.53,712.4,0.0,5.7,712.4,718.1,5.7,1.58
157,1.16,713.56,4.54,1.77,718.1,719.87,6.31,0.0
158,7.38,720.94,-0.0,2.94,720.94,723.88,2.94,1.07
159,7.93,728.87,0.0,2.85,728.87,731.72,2.85,4.99
160,5.99,734.86,-0.0,2.78,734.86,737.64,2.78,3.14
161,4.16,739.02,0.0,4.11,739.02,743.13,4.11,1.38
162,5.68,744.7,-0.0,2.7,744.7,747.4,2.7,1.57
163,7.56,752.26,0.0,1.81,752.26,754.07,1.81,4.86
164,3.68,755.95,-0.0,5.56,755.95,761.51,5.56,1.88
165,1.55,757.49,4.02,4.44,761.51,765.95,8.46,0.0
166,4.29,761.79,4.16,2.98,765.95,768.93,7.14,0.0
167,7.24,769.03,-0.0,3.57,769.03,772.6,3.57,0.1
168,6.54,775.56,0.0,4.14,775.56,779.7,4.14,2.96
169,4.6,780.16,-0.0,5.22,780.16,785.38,5.22,0.46
170,7.48,787.64,-0.0,5.74,787.64,793.38,5.74,2.26
171,6.93,794.57,0.0,4.06,794.57,798.63,4.06,1.19
172,1.68,796.25,2.38,5.01,798.63,803.64,7.39,0.0
173,2.76,799.01,4.63,1.57,803.64,805.21,6.2,0.0
174,4.01,803.02,2.19,1.87,805.21,807.08,4.06,0.0
175,1.44,804.46,2.62,3.38,807.08,810.46,6.0,0.0
176,5.44,809.9,0.56,5.35,810.46,815.81,5.91,0.0
177,7.51,817.41,0.0,5.95,817.41,823.36,5.95,1.6
178,5.98,823.4,-0.0,5.98,823.4,829.38,5.98,0.04
179,2.22,825.62,3.76,5.94,829.38,835.32,9.7,0.0
180,1.4,827.02,8.3,4.38,835.32,839.7,12.68,0.0
181,7.97,834.99,4.71,2.36,839.7,842.06,7.07,0.0
182,1.36,836.36,5.7,1.04,842.06,843.1,6.74,0.0
183,5.84,842.2,0.9,5.47,843.1,848.57,6.37,0.0
184,3.92,846.12,2.45,3.03,848.57,851.6,5.48,0.0
185,2.66,848.78,2.82,4.11,851.6,855.71,6.93,0.0
186,5.0,853.78,1.93,5.18,855.71,860.89,7.11,0.0
187,4.05,857.83,3.06,5.81,860.89,866.7,8.87,0.0
188,6.31,864.13,2.57,5.68,866.7,872.38,8.25,0.0
189,1.65,865.78,6.6,2.11,872.38,874.49,8.71,0.0
190,6.96,872.74,1.75,2.76,874.49,877.25,4.51,0.0
191,3.76,876.5,0.75,1.28,877.25,878.53,2.03,0.0
192,7.33,883.83,0.0,4.38,883.83,888.21,4.38,5.3
193,5.8,889.63,-0.0,1.66,889.63,891.29,1.66,1.42
194,2.88,892.51,0.0,5.42,892.51,897.93,5.42,1.22
195,7.23,899.74,0.0,2.11,899.74,901.85,2.11,1.81
196,2.4,902.14,-0.0,4.54,902.14,906.68,4.54,0.29
197,1.82,903.95,2.73,1.2,906.68,907.88,3.93,0.0
198,4.13,908.08,0.0,1.36,908.08,909.44,1.36,0.2
199,5.99,914.07,0.0,2.54,914.07,916.61,2.54,4.63
200,3.6,917.68,-0.0,5.11,917.68,922.79,5.11,1.07
201,2.27,919.94,2.85,4.57,922.79,927.36,7.42,0.0
202,3.4,923.35,4.01,1.43,927.36,928.79,5.44,0.0
203,1.38,924.73,4.06,1.13,928.79,929.92,5.19,0.0
204,7.48,932.2,0.0,3.46,932.2,935.66,3.46,2.28
205,7.39,939.59,-0.0,1.15,939.59,940.74,1.15,3.93
206,4.82,944.41,-0.0,5.46,944.41,949.87,5.46,3.67
207,7.64,952.05,-0.0,3.13,952.05,955.18,3.13,2.18
208,3.2,955.25,-0.0,2.09,955.25,957.34,2.09,0.07
209,7.79,963.04,-0.0,4.56,963.04,967.6,4.56,5.7
210,4.03,967.07,0.53,2.32,967.6,969.92,2.85,0.0
211,1.41,968.48,1.44,3.65,969.92,973.57,5.09,0.0
212,3.71,972.2,1.37,5.99,973.57,979.56,7.36,0.0
213,3.83,976.02,3.54,3.23,979.56,982.79,6.77,0.0
214,5.43,981.45,1.34,2.67,982.79,985.46,4.01,0.0
215,3.81,985.26,0.2,2.89,985.46,988.35,3.09,0.0
216,1.48,986.75,1.6,1.3,988.35,989.65,2.9,0.0
217,5.54,992.28,0.0,3.81,992.28,996.09,3.81,2.63
218,4.55,996.83,0.0,4.69,996.83,1001.52,4.69,0.74
219,1.1,997.93,3.59,5.66,1001.52,1007.18,9.25,0.0
220,4.27,1002.2,4.98,5.97,1007.18,1013.15,10.95,0.0
221,3.06,1005.26,7.89,3.46,1013.15,1016.61,11.35,0.0
222,3.22,1008.48,8.13,4.27,1016.61,1020.88,12.4,0.0
223,3.45,1011.93,8.95,3.96,1020.88,1024.84,12.91,0.0
224,4.29,1016.22,8.62,5.2,1024.84,1030.04,13.82,0.0
225,1.85,1018.08,11.96,1.0,1030.04,1031.04,12.96,0.0
226,7.62,1025.7,5.34,1.33,1031.04,1032.37,6.67,0.0
227,2.42,1028.12,4.25,5.93,1032.37,1038.3,10.18,0.0
228,7.38,1035.5,2.8,3.92,1038.3,1042.22,6.72,0.0
229,4.75,1040.24,1.98,2.65,1042.22,1044.87,4.63,0.0
230,3.47,1043.71,1.16,2.11,1044.87,1046.98,3.27,0.0
231,3.43,1047.14,0.0,1.23,1047.14,1048.37,1.23,0.16
232,3.29,1050.43,-0.0,3.38,1050.43,1053.81,3.38,2.06
233,2.03,1052.46,1.35,4.56,1053.81,1058.37,5.91,0.0
234,4.6,1057.06,1.31,3.87,1058.37,1062.24,5.18,0.0
235,6.15,1063.21,-0.0,5.33,1063.21,1068.54,5.33,0.97
236,4.4,1067.61,0.93,3.19,1068.54,1071.73,4.12,0.0
237,5.35,1072.96,0.0,3.37,1072.96,1076.33,3.37,1.23
238,6.57,1079.53,-0.0,1.09,1079.53,1080.62,1.09,3.2
239,2.02,1081.54,0.0,3.34,1081.54,1084.88,3.34,0.92
240,6.25,1087.8,-0.0,2.56,1087.8,1090.36,2.56,2.92
241,3.37,1091.17,0.0,3.07,1091.17,1094.24,3.07,0.81
242,4.72,1095.89,0.0,3.24,1095.89,1099.13,3.24,1.65
243,1.35,1097.24,1.89,2.85,1099.13,1101.98,4.74,0.0
244,4.46,1101.7,0.28,1.76,1101.98,1103.74,2.04,0.0
245,1.1,1102.8,0.94,4.76,1103.74,1108.5,5.7,0.0
246,5.67,1108.48,0.02,1.47,1108.5,1109.97,1.49,0.0
247,6.6,1115.08,-0.0,4.59,1115.08,1119.67,4.59,5.11
248,5.56,1120.64,0.0,5.93,1120.64,1126.57,5.93,0.97
249,1.96,1122.6,3.97,5.14,1126.57,1131.71,9.11,0.0
250,5.17,1127.77,3.94,1.22,1131.71,1132.93,5.16,0.0
251,6.24,1134.01,-0.0,1.87,1134.01,1135.88,1.87,1.08
252,4.73,1138.74,-0.0,4.63,1138.74,1143.37,4.63,2.86
253,2.52,1141.26,2.11,5.45,1143.37,1148.82,7.56,0.0
254,7.37,1148.64,0.18,1.32,1148.82,1150.14,1.5,0.0
255,4.77,1153.4,0.0,2.28,1153.4,1155.68,2.28,3.26
256,2.06,1155.46,0.22,4.58,1155.68,1160.26,4.8,0.0
257,1.01,1156.47,3.79,1.01,1160.26,1161.27,4.8,0.0
258,7.57,1164.04,-0.0,1.24,1164.04,1165.28,1.24,2.77
259,7.84,1171.88,0.0,3.43,1171.88,1175.31,3.43,6.6
260,1.77,1173.65,1.66,5.55,1175.31,1180.86,7.21,0.0
261,3.06,1176.7,4.16,4.86,1180.86,1185.72,9.02,0.0
262,1.08,1177.78,7.94,5.55,1185.72,1191.27,13.49,0.0
263,5.12,1182.9,8.37,2.03,1191.27,1193.3,10.4,0.0
264,1.77,1184.67,8.63,4.44,1193.3,1197.74,13.07,0.0
265,2.46,1187.13,10.61,2.75,1197.74,1200.49,13.36,0.0
266,5.73,1192.86,7.63,5.55,1200.49,1206.04,13.18,0.0
267,7.0,1199.86,6.18,5.18,1206.04,1211.22,11.36,0.0
268,2.97,1202.83,8.39,3.03,1211.22,1214.25,11.42,0.0
269,3.51,1206.34,7.91,4.67,1214.25,1218.92,12.58,0.0
270,7.26,1213.6,5.32,5.97,1218.92,1224.89,11.29,0.0
271,3.93,1217.53,7.36,1.09,1224.89,1225.98,8.45,0.0
272,3.57,1221.1,4.88,3.0,1225.98,1228.98,7.88,0.0
273,1.28,1222.38,6.6,3.89,1228.98,1232.87,10.49,0.0
274,2.46,1224.85,8.02,4.27,1232.87,1237.14,12.29,0.0
275,5.48,1230.33,6.81,2.02,1237.14,1239.16,8.83,0.0
276,6.83,1237.17,1.99,4.17,1239.16,1243.33,6.16,0.0
277,7.09,1244.26,-0.0,4.38,1244.26,1248.64,4.38,0.93
278,4.77,1249.03,-0.0,5.66,1249.03,1254.69,5.66,0.39
279,7.82,1256.85,-0.0,1.4,1256.85,1258.25,1.4,2.16
